,Onset,End,timezone,Eocum,Dpo,Tpeak,WLres,Wpre_exposed,Wpre_partially,Wpre_sheltered,dW_exposed,dW_partially,dW_sheltered
60,18/11/1996 16:00,19/11/1996 20:00,AEST,282388.1217,157.072450380323,14.28,0.11071922,,,,,,
61,13/12/1996 10:00,13/12/1996 17:00,AEST,41100.18094,175.89061280514974,10.52,0.060919024,,,,,,
62,8/01/1997 1:00,9/01/1997 3:00,AEST,220352.1311,170.8147606679651,13.33,0.118147076,,,,,,
63,7/04/1997 9:00,7/04/1997 17:00,AEST,56407.79075,172.44441672215453,12.2,0.204180554,,,,,,
64,9/05/1997 11:00,12/05/1997 20:00,AEST,1495716.191,152.13997716604183,13.33,0.384726687,,,,,,
65,14/05/1997 20:00,15/05/1997 11:00,AEST,90968.01725,158.65852519811256,15.38,-0.022393045,,,,,,
66,15/06/1997 13:00,18/06/1997 14:00,AEST,384736.4818,153.6781388913463,10.52,0.113057473,,,,,,
67,26/06/1997 18:00,27/06/1997 10:00,AEST,108754.0647,150.77267588844012,11.76,-0.007552827,,,,,,
68,31/07/1997 23:00,3/08/1997 0:00,AEST,147484.827,169.10907544560723,12.5,-0.051128204,51.76075577,51.87175981,43.31524951,,,
69,17/09/1997 6:00,17/09/1997 18:00,AEST,79276.09376,167.15356204501606,14.28,-0.119597025,,,,,,
70,7/10/1997 12:00,7/10/1997 22:00,AEST,69779.28721,80.45176630962965,9.09,0.060341869,75.61748654,46.06989065,41.13485735,,,
71,18/10/1997 13:00,18/10/1997 20:00,AEST,43353.71314,183.00148724992343,10.52,0.001342684,,,,,,
72,10/12/1997 0:00,10/12/1997 14:00,AEST,114363.1345,185.06452755069347,10.52,-0.05318373,,,,,,
73,23/02/1998 6:00,23/02/1998 19:00,AEST,82817.30143,164.7112334085634,11.76,0.05260426,,,,,,
74,7/03/1998 0:00,9/03/1998 7:00,AEST,557297.8538,153.16565436374606,15.1,0.292713309,,,,,,
75,5/05/1998 6:00,7/05/1998 7:00,AEST,246786.315,153.8166520440254,11.76,0.215313469,,,,,,
76,18/05/1998 20:00,20/05/1998 2:00,AEST,245522.3701,136.98159502357697,11.76,0.230516692,,,,,,
77,22/05/1998 3:00,23/05/1998 3:00,AEST,209719.3006,156.74115159493465,13.33,0.08246066,,,,,,
78,25/05/1998 15:00,26/05/1998 12:00,AEST,147588.32,155.0994963593281,11.76,0.198281746,,,,,,
79,4/06/1998 18:00,6/06/1998 2:00,AEST,257230.9702,98.77543856765551,12.5,0.002886674,,,,,,
80,8/06/1998 10:00,9/06/1998 7:00,AEST,229718.6845,163.3922283278761,12.5,,,,,,,
81,25/06/1998 23:00,26/06/1998 16:00,AEST,130470.9537,165.99949207481563,12.5,0.162792613,,,,,,
82,1/07/1998 0:00,2/07/1998 7:00,AEST,309634.3298,142.6616762099551,13.33,0.099517468,,,,,,
83,10/07/1998 14:00,11/07/1998 2:00,AEST,88882.75392,168.99964836993792,14.28,0.130742589,,,,,,
84,14/07/1998 23:00,15/07/1998 20:00,AEST,147429.3214,158.32089112061882,11.11,0.118123768,,,,,,
85,6/08/1998 9:00,9/08/1998 19:00,AEST,779930.3964,135.38502574773776,12.2,0.343971966,,,,,,
86,16/08/1998 7:00,18/08/1998 13:00,AEST,233096.2178,108.72523955292584,10.52,-0.014145334,,,,,,
87,27/08/1998 9:00,28/08/1998 2:00,AEST,114900.1477,132.32646275479314,15.38,-0.09509604,51.95546731,30.21101215,22.16819069,,,
88,25/09/1998 2:00,25/09/1998 16:00,AEST,88058.68596,176.36814563271247,9.09,0.025145028,,,,,,
89,8/10/1998 4:00,8/10/1998 13:00,AEST,52454.90845,151.19110938151476,15.38,0.163768323,,,,,,
90,31/10/1998 19:00,3/11/1998 3:00,AEST,426251.8514,154.43150698494975,12.5,0.09010693,,,,,,
91,18/11/1998 5:00,19/11/1998 7:00,AEST,189300.0737,141.759591504114,10.0,-0.049956004,,,,,,
92,5/02/1999 11:00,5/02/1999 21:00,AEST,56780.11139,72.99991688432092,13.33,-0.135135209,65.97565962,43.04465701,36.47505343,0.0,0.0,0.0
93,8/02/1999 8:00,9/02/1999 4:00,AEST,140559.8988,131.35535577138756,10.2,-0.015253596,65.97565962,43.04465701,36.47505343,,,
94,22/03/1999 23:00,23/03/1999 6:00,AEST,40664.83559,158.3723345112125,10.2,-0.084564328,,,,,,
95,28/03/1999 18:00,29/03/1999 13:00,AEST,141530.5271,164.79087606913947,11.1,0.054017516,58.27517885,53.12876916,43.42750441,,,
96,6/04/1999 23:00,7/04/1999 10:00,AEST,88389.04115,155.25495173727631,11.76,-0.089490157,,,,,,
97,21/04/1999 12:00,25/04/1999 13:00,AEST,1067336.763,137.44973086840434,15.38,0.202865126,,,,,,
98,28/04/1999 7:00,30/04/1999 14:00,AEST,548466.6278,135.29298041533573,13.33,0.385875094,,,,,,
99,24/05/1999 21:00,25/05/1999 16:00,AEST,166717.6161,61.04434950035044,15.38,0.068431661,,,,,,
100,11/06/1999 21:00,13/06/1999 0:00,AEST,262484.2571,159.42527312978044,14.28,0.159042152,,,,,,
101,1/07/1999 21:00,3/07/1999 3:00,AEST,214238.6019,158.51567571475076,11.76,0.150245255,,,,,,
102,14/07/1999 1:00,17/07/1999 4:00,AEST,850419.1237,99.10328293275924,13.33,0.15307597,,,,,,
103,31/07/1999 19:00,1/08/1999 13:00,AEST,124646.7644,165.81408319900794,10.52,0.042629131,,,,,,
104,15/08/1999 18:00,16/08/1999 19:00,AEST,254206.6496,138.15904207171607,13.33,0.06861199,,,,,,
105,11/09/1999 12:00,13/09/1999 16:00,AEST,408716.2495,146.37022618056176,13.33,0.117339547,,,,,,
106,19/10/1999 5:00,19/10/1999 14:00,AEST,62384.70161,170.4991043786157,9.09,0.112632647,,,,,,
107,24/10/1999 4:00,24/10/1999 16:00,AEST,84542.03007,115.30596846124726,10.2,0.224616139,,,,,,
108,8/11/1999 23:00,12/11/1999 9:00,AEST,746319.8505,161.26625698135211,15.1,0.213672581,,,,,,
109,29/12/1999 12:00,1/01/2000 4:00,AEST,618840.9747,177.2252042047657,13.5,0.282702627,,,,,,
110,5/01/2000 22:00,8/01/2000 0:00,AEST,477774.8325,172.82895418033883,13.5,0.330339709,,,,,,
111,28/01/2000 21:00,29/01/2000 10:00,AEST,82078.45423,177.99983680348524,9.5,0.17013025,,,,,,
112,13/02/2000 2:00,13/02/2000 13:00,AEST,86480.60749,172.99606298111587,9.4,0.095852324,43.19296731,44.06241402,30.28338676,,,
113,7/03/2000 11:00,9/03/2000 5:00,AEST,267118.0493,126.42606522498836,11.1,0.023343395,,,,,,
114,23/03/2000 20:00,24/03/2000 22:00,AEST,141750.0011,158.96490688170405,12.2,0.15646036,,,,,,
115,5/04/2000 20:00,6/04/2000 19:00,AEST,223738.2472,175.76425708948713,12.2,0.288409502,,,,,,
116,6/05/2000 15:00,7/05/2000 3:00,AEST,113507.6948,177.84852695852905,12.2,0.11370663,,,,,,
117,31/05/2000 0:00,3/06/2000 5:00,AEST,533807.0411,169.92203749750917,13.5,0.252389266,,,,,,
118,11/06/2000 21:00,12/06/2000 6:00,AEST,61612.30255,176.19410608213292,13.5,-0.017756609,,,,,,
119,30/06/2000 8:00,2/07/2000 21:00,AEST,818433.6349,155.20891083848136,13.5,0.228356605,,,,,,
120,17/07/2000 0:00,18/07/2000 8:00,AEST,280329.6586,140.688477673908,12.2,0.155398996,,,,,,
121,16/08/2000 14:00,17/08/2000 17:00,AEST,193051.5731,162.8010655174476,11.1,0.050514892,,,,,,
122,4/03/2001 23:00,10/03/2001 2:00,AEST,958845.3778,92.79894779816686,13.5,0.096627696,,,,,,
123,11/04/2001 23:00,12/04/2001 18:00,AEST,133747.339,160.81179231037976,12.2,0.273592667,33.14681346,48.85774112,50.31819069,,,
124,6/05/2001 17:00,12/05/2001 7:00,AEST,607549.7803,156.63019282325484,12.2,0.18197445,,,,,,
125,18/05/2001 15:00,18/05/2001 22:00,AEST,42407.38402,181.1254626241843,12.2,0.065020259,,,,,,
126,29/05/2001 11:00,29/05/2001 21:00,AEST,64053.81592,135.6244548928228,11.1,0.101089245,,,,,,
127,17/06/2001 15:00,17/06/2001 22:00,AEST,45810.38919,146.88372751264737,12.2,0.111739646,,,,,,
128,19/07/2001 7:00,21/07/2001 17:00,AEST,405142.1744,163.1210161888172,13.5,0.136715192,,,,,,
129,27/07/2001 16:00,30/07/2001 9:00,AEST,972758.7763,162.35705808621526,15.0,0.381948542,,,,,,
130,23/08/2001 16:00,24/08/2001 1:00,AEST,52339.50246,171.2993587581523,12.2,0.137982241,,,,,,
131,29/08/2001 16:00,30/08/2001 20:00,AEST,193172.3272,138.3663474155077,11.1,0.235031107,,,,,,
132,26/09/2001 5:00,27/09/2001 8:00,AEST,202826.587,176.52965436247254,11.1,0.127550075,,,,,,
133,8/10/2001 9:00,9/10/2001 8:00,AEST,234322.1463,171.12358134981315,12.2,0.260272033,45.72806346,53.41848879,36.47064167,,,
134,13/11/2001 22:00,14/11/2001 14:00,AEST,117827.6332,176.0611085501721,12.2,-0.003287954,,,,,,
135,18/11/2001 19:00,22/11/2001 12:00,AEST,1243519.505,160.09449528922556,12.2,0.212856619,,,,,,
136,4/12/2001 15:00,5/12/2001 12:00,AEST,132209.5297,170.34569915249347,12.2,0.16129381,,,,,,
137,12/12/2001 3:00,12/12/2001 10:00,AEST,45989.1596,170.1243435105078,12.2,0.06104986,,,,,,
138,5/02/2002 11:00,5/02/2002 21:00,AEST,67302.0356,119.54434623930828,9.4,0.085707128,,,,,,
139,11/02/2002 14:00,12/02/2002 2:00,AEST,72314.97616,182.004396115218,12.2,0.253160658,,,,,,
140,30/03/2002 6:00,31/03/2002 19:00,AEST,198915.1896,175.17326618115965,15.0,0.19286755,,,,,,
141,4/04/2002 20:00,5/04/2002 5:00,AEST,53901.06833,181.7994745693792,11.1,0.016181732,,,,,,
142,21/04/2002 22:00,22/04/2002 9:00,AEST,91338.71228,181.08989630195515,11.1,0.187660777,,,,,,
143,10/05/2002 23:00,11/05/2002 7:00,AEST,48014.06573,179.66730271604163,10.2,0.062127333,,,,,,
144,23/05/2002 9:00,23/05/2002 18:00,AEST,52698.13301,175.30008720201357,13.5,0.175948333,,,,,,
145,28/05/2002 20:00,30/05/2002 7:00,AEST,288345.7021,154.0286146039427,17.1,0.004250957,,,,,,
146,18/06/2002 1:00,19/06/2002 15:00,AEST,358137.9241,155.00297630978818,13.5,0.173868881,,,,,,
147,29/06/2002 0:00,1/07/2002 4:00,AEST,777887.1232,160.3637370903017,15.0,0.170586937,,,,,,
148,24/07/2002 21:00,25/07/2002 16:00,AEST,154343.4866,177.73029729653695,10.2,0.09428795,,,,,,
149,14/08/2002 11:00,17/08/2002 11:00,AEST,901104.5413,153.7946932352663,15.0,0.149251454,,,,,,
150,23/08/2002 12:00,24/08/2002 9:00,AEST,152165.038,170.54021277632316,11.1,-0.028397058,,,,,,
151,20/09/2002 2:00,20/09/2002 12:00,AEST,60672.3824,164.9093589536682,12.2,0.148976483,,,,,,
152,26/10/2002 8:00,26/10/2002 23:00,AEST,97043.7733,181.25684410205588,10.2,0.009821617,,,,,,
153,7/12/2002 3:00,7/12/2002 11:00,AEST,53316.72067,172.66548354922065,11.1,0.118938029,,,,,,
154,10/12/2002 23:00,12/12/2002 10:00,AEST,333196.578,118.62545882408136,12.2,0.130147552,,,,,,
155,8/01/2003 20:00,9/01/2003 18:00,AEST,217767.3035,172.76193803285395,12.2,0.092875504,,,,,,
156,3/04/2003 11:00,4/04/2003 7:00,AEST,155918.9081,183.3597685498597,11.1,0.078391064,,,,,,
157,9/04/2003 16:00,10/04/2003 7:00,AEST,96314.79156,176.74933300604062,12.2,0.119690308,,,,,,
158,16/04/2003 3:00,20/04/2003 1:00,AEST,681922.5931,156.5749639587875,15.0,0.178067497,,,,,,
159,4/05/2003 2:00,5/05/2003 19:00,AEST,504843.2266,170.90844158109985,15.0,0.108567931,,,,,,
160,17/05/2003 7:00,17/05/2003 21:00,AEST,98493.61152,96.19701953356768,12.2,0.083222962,,,,,,
161,27/06/2003 4:00,28/06/2003 2:00,AEST,212062.7483,87.34762955810395,15.0,0.10276496,,,,,,
162,31/07/2003 0:00,2/08/2003 2:00,AEST,565261.7064,166.42547016509212,13.5,0.098848912,,,,,,
163,10/08/2003 2:00,10/08/2003 22:00,AEST,135390.9844,169.82168159343027,12.2,0.032955148,43.74104423,45.47456355,39.2794652,0.0,0.0,0.0
164,14/08/2003 20:00,15/08/2003 9:00,AEST,86717.73856,169.8596353908075,12.2,0.101958557,,,,,,
165,19/08/2003 1:00,19/08/2003 17:00,AEST,113342.5398,180.76453256704576,11.1,0.184550585,,,,,,
166,3/09/2003 21:00,4/09/2003 22:00,AEST,278430.2603,171.30782702281306,19.7,0.10389905,,,,,,
167,3/10/2003 3:00,3/10/2003 22:00,AEST,143648.9628,164.04984694539024,11.1,0.145860186,,,,,,
168,11/10/2003 3:00,13/10/2003 9:00,AEST,547920.2752,159.02663789203876,13.5,0.15540259,,,,,,
169,27/10/2003 7:00,27/10/2003 14:00,AEST,43546.64636,163.3744491987171,12.2,0.02973359,,,,,,
170,17/11/2003 7:00,17/11/2003 19:00,AEST,79018.96154,159.23564250599347,10.2,-0.052705771,,,,,,
171,24/11/2003 15:00,24/11/2003 22:00,AEST,41385.93716,141.9268327601721,8.8,0.076824734,,,,,,
172,5/12/2003 17:00,6/12/2003 0:00,AEST,44330.84651,177.88623108633865,10.2,0.078503373,,,,,,
173,8/12/2003 4:00,8/12/2003 14:00,AEST,62976.60076,96.9090918322762,12.2,0.001178089,,,,,,
174,25/02/2004 10:00,27/02/2004 15:00,AEST,543026.2229,95.3590634837228,13.5,0.141092175,,,,,,
175,29/02/2004 20:00,1/03/2004 13:00,AEST,136448.0482,173.9454490424292,12.2,,,,,,,
176,10/03/2004 12:00,10/03/2004 21:00,AEST,58663.70293,175.505080293917,11.1,0.053936966,,,,,,
177,12/05/2004 5:00,15/05/2004 7:00,AEST,335822.025,161.26823171309672,13.5,0.269331374,,,,,,
178,10/07/2004 4:00,10/07/2004 14:00,AEST,59975.02442,113.00634659582896,12.2,-0.102659339,,,,,,
179,18/07/2004 1:00,20/07/2004 11:00,AEST,782214.3114,166.48379676608585,13.5,0.176192763,,,,,,
180,15/08/2004 7:00,16/08/2004 5:00,AEST,227214.6633,172.83018419954607,12.2,0.120833651,,45.52738179,47.5854071,,4.160563765,6.900969625
181,1/10/2004 13:00,2/10/2004 20:00,AEST,353228.1851,121.7669795194254,12.2,0.213026628,,52.14106596,41.28566287,,18.65641389,8.358674857
182,20/10/2004 16:00,21/10/2004 21:00,AEST,270294.7473,68.3851261204476,12.2,-0.000981799,,34.39697834,40.5238976,,3.363098877,17.92518391
183,28/10/2004 9:00,29/10/2004 13:00,AEST,360672.4146,170.6897446076855,15.1,0.091960685,,33.37086457,24.84601137,,-1.811943894,1.104596536
184,15/12/2004 3:00,15/12/2004 12:00,AEST,57319.21706,174.3000390630117,12.2,0.104878249,,35.17340114,30.91984371,,0.621615578,0.126084467
185,27/12/2004 20:00,30/12/2004 9:00,AEST,351730.671,179.25769973616093,13.5,0.269904411,,33.19442178,30.99580993,,1.228202161,4.917980696
186,17/03/2005 15:00,17/03/2005 23:00,AEST,48780.42095,184.00618183105243,10.2,0.145288633,,54.95063819,40.70662819,,1.064588243,-0.018614442
187,22/03/2005 17:00,26/03/2005 8:00,AEST,690023.7617,150.08722740205667,12.2,0.321426444,,52.00360001,41.07124311,,15.65810928,4.363599053
188,4/04/2005 6:00,4/04/2005 18:00,AEST,88436.98584,174.9305954897547,11.1,-0.007367899,,37.34069986,40.25363111,,-1.402835858,0.157961818
189,14/05/2005 12:00,19/05/2005 14:00,AEST,581150.1577,117.03250090257043,15.0,0.14319408,54.585275,58.5604145,49.96594297,,20.60252398,11.70354432
190,25/05/2005 23:00,26/05/2005 6:00,AEST,42650.1253,178.6364822335272,11.1,0.042062929,,40.02555469,41.45635449,,1.610207849,-0.108192826
191,29/05/2005 13:00,30/05/2005 1:00,AEST,76361.97233,171.07682980600805,15.0,0.171954202,,38.41534684,41.56454731,,2.566685421,-3.114131247
192,24/06/2005 5:00,25/06/2005 3:00,AEST,218382.7862,153.50534294362978,12.2,0.139504782,,44.18493296,46.72765837,,2.395480009,2.825705944
193,30/06/2005 5:00,1/07/2005 8:00,AEST,227202.1786,75.28743801801795,11.1,-0.009047719,,41.7264881,44.12773862,,9.033808914,14.24357731
194,10/07/2005 10:00,12/07/2005 0:00,AEST,551823.2713,150.3727339489724,13.29875,0.327168295,,33.38680526,32.33498918,,1.592722242,0.476721001
195,18/07/2005 13:00,18/07/2005 20:00,AEST,37977.04024,160.49998107101345,12.2,0.106198978,,33.30680673,34.35379972,,-1.560934224,0.501249411
196,15/11/2005 15:00,17/11/2005 1:00,AEST,377212.6033,174.68669938801798,11.1,0.228474028,,,36.56046792,,,2.368377073
197,27/11/2005 12:00,29/11/2005 2:00,AEST,369257.5091,179.0327065680624,12.2,0.252783132,,39.35307345,34.65693068,,-1.785871758,1.290247141
198,7/02/2006 2:00,7/02/2006 15:00,AEST,142326.1004,183.06878179622132,11.1,0.153191799,,51.55467431,42.96081141,,-2.433301291,-1.192970276
199,27/03/2006 18:00,28/03/2006 14:00,AEST,149092.7274,109.693113904492,15.0,0.18507897,,65.42441163,50.13387634,,6.923679027,1.135008217
200,1/04/2006 12:00,2/04/2006 8:00,AEST,167032.4825,180.3319636030048,12.2,0.163312796,35.73272396,58.55275994,50.39801099,,0.08402752,0.788083303
201,9/04/2006 1:00,10/04/2006 7:00,AEST,304877.5939,171.96705034172115,17.1,0.315936985,,58.88228704,50.76333346,,10.384359,2.85727668
202,28/04/2006 3:00,29/04/2006 0:00,AEST,135013.0767,141.00137353042794,15.0,0.387958379,30.52373654,52.14949635,51.14857364,,2.244054517,-1.806099528
203,2/06/2006 22:00,5/06/2006 0:00,AEST,737999.3957,171.6166086017191,13.5,0.221016065,,58.8035137,60.15155733,,7.729763432,4.134938484
204,11/06/2006 9:00,12/06/2006 20:00,AEST,431400.4209,167.25399634323506,13.5,0.133486141,,55.95237008,59.58985127,,10.29119198,6.501465427
205,16/06/2006 13:00,17/06/2006 23:00,AEST,246253.564,165.57086952741025,17.1,0.110916854,,46.27461876,53.94832018,,2.685981758,1.336648959
206,13/07/2006 16:00,14/07/2006 20:00,AEST,195648.6927,177.0015250034515,17.1,0.011052544,,50.38957863,54.78775378,,11.81031628,10.00548609
207,18/07/2006 8:00,21/07/2006 14:00,AEST,505624.1418,154.35709769003645,13.5,0.032739497,,38.57926236,43.65665731,,1.902813584,0.66839985
208,27/07/2006 7:00,27/07/2006 17:00,AEST,64453.27204,73.72685300339349,12.2,-0.075304283,,33.85262711,41.69868866,,2.159940636,3.796625887
209,7/08/2006 0:00,8/08/2006 2:00,AEST,185933.7079,136.5964520899286,12.2,0.042968328,,35.07905386,38.62875406,,-4.367013959,0.824331822
210,10/08/2006 8:00,10/08/2006 16:00,AEST,49387.51987,165.44398009381786,11.1,0.037435874,,38.97740335,38.03331497,,-1.252650309,0.779354587
211,7/09/2006 7:00,11/09/2006 15:00,AEST,783749.9055,144.80617470392298,12.2,0.244839537,,45.59057132,41.411415,,9.839929555,3.593121788
212,8/10/2006 17:00,10/10/2006 20:00,AEST,252670.3648,179.7789152567499,13.5,0.002356589,,,43.16716373,,,-1.40314579
213,21/10/2006 3:00,21/10/2006 12:00,AEST,65812.54136,184.50018292741817,11.1,0.043457836,,38.44569959,44.42471352,,-4.189579073,1.136298529
214,28/10/2006 12:00,29/10/2006 18:00,AEST,282263.5289,177.10074696683574,12.2,0.091122062,,43.61956542,42.42509321,,3.62448806,0.129919927
215,5/11/2006 7:00,5/11/2006 21:00,AEST,102923.7529,186.33366403473315,9.4,0.082169653,,,42.2680003,,,0.168256779
216,16/11/2006 9:00,17/11/2006 0:00,AEST,101910.1122,179.597638511863,9.4,0.21408703,,,,,,
217,29/11/2006 14:00,30/11/2006 3:00,AEST,107573.1931,177.4339069238463,11.1,0.038609828,,43.95956254,45.03486726,,0.903488303,-0.868404821
218,8/01/2007 13:00,9/01/2007 15:00,AEST,154721.2548,170.1940643058979,13.5,0.1242854,54.49200577,41.4654719,43.33923621,,0.405086402,-1.533538598
